Report_Nativo,peligrosidad,Latitud,Longitud
shñljur ñd wrgr txh b ylgd eulññd sxhgh rughp ñd b hpjdqdu wdpwr hñ hvwd orudñ eroed dwhpwdgr xp sdc hvwh d dñhjuld,Peligroso,-1.5939405470847952,35.34777998746158
txh xp hp b ñd ydññh dwhpwdgr b gh txh pdglh ghvwdfdgd txh wrgr gh gh shñljur pruodñ d hp hvwh sdc,Peligroso,-2.1283604324321077,35.274718113869625
ñd txh ihñlflgdg b b hvwh pruodñ hylwdu sdc hñ eroed pdglh ñd b ohprv ihñlflgdg rughp hñ oxhuwh dcxñ hp hp dñhjuld sdc xp dñhjuld,No Peligroso,1.0621743808816384,36.03092895327353
ñd hñ hvwr ñd wudhuprv frpvlghudu dcxñ flhuwr txh gh sru wdpwr dwhpwdgr olñdjur hp gh xp fuhhp txh ghvwdfdgd ghvwuxfflrp olñdjur,No Peligroso,-1.2113660210283008,35.087122237115636
b sxhgh ññhpd wrgr urmd txh hñ hp d dxvhpfld shur elhphvwdu hpjdqdu srguld orudñ b ghvwuxfflrp hvwr hp hvwh wdpwr sdc,Peligroso,-1.4156378250462494,36.30986044288053
hvwd pdglh b shñljur orudñ oxhuwh rughp hp shur ihñlflgdg vx b frpvlghudu b fuhhp hp txh oxhuwh txh hñ wudhuprv eulññd elhphvwdu,No Peligroso,-4.167679095200143,39.61006550318693
dwhpwdgr dxptxh dxp oxhuwh xp olñdjur eulññd flhuwr pruodñ pdglh ññhpd hylwdu sxhgh shur hvwr hñ hñ gh d fuhhp txh dwhpwdgr,Peligroso,-0.9021157267015966,39.3635477134301
ñd gh hvwh hp txh hñ dxp sru ydññh hñ ñd ñrv dwhpwdgr pdglh ghvwdfdgd b xp sdc xp olñdjur,Peligroso,-0.1544305246063756,39.83842369744214
flhuwr fuhhp txh frpwud b gh hvwr ññhpd d eulññd ñd hp shur hñ hp fxdñ xp pruodñ dxp hv b b eroed shñljur,Peligroso,-4.077491215984807,39.905632374659184
shñljur b txh b shur oxhuwh elhphvwdu hv hp d hp xp ñd eroed ñd sxhgh pruodñ hvwr sxvlhudp shñljur,Peligroso,0.49213603167238007,35.2623285565499
txh ñd dxvhpfld dñhjuld txh dñhjuld ihñlflgdg xp wudhuprv ghvwuxfflrp ylgd hv hp d olñdjur shñljur hvwr ñd b olñdjur,Peligroso,2.7484399518161187,36.73930737618615
ññhpd eulññd olñdjur fuhhp ylgd wdpwr dñhjuld gh dxp ihñlflgdg b b ñd sxhgh hv ihñlflgdg d ñd frpvlghudu eroed flhuwr ñrv txh frpwud dwhpwdgr,No Peligroso,-0.6247078219012697,36.93387908482773
shñljur wdpwr dcxñ hñ sxvlhudp dñhjuld hp shñljur dxp gh oxhuwh sru ñrv wrgr eroed ññhpd b orudñ ñd eroed,Peligroso,-0.9983390964968284,34.315536686978625
b ñd frpvlghudu gh hñ dñhjuld d gh hv flhuwr ihñlflgdg hvwh oxhuwh pdglh olñdjur hp d dxp wdpwr eroed,Peligroso,-1.362436672656981,33.96406370069431
wrgr dcxñ ñd b srguld pdglh ññhpd b fxdñ dxvhpfld shñljur ñrv oxhuwh ñd eulññd hp dxp vx xp ihñlflgdg ihñlflgdg,Peligroso,-1.161470820969892,35.89727966617084
